a,b,c,d,e,PM2.5
3.73938,-0.76271,0.22937,0.51805,-0.79818,0.433628319
4.47634,0.30807,-0.07887,1.02064,0.24932,0.513274336
5.13285,-1.29544,0.96006,1.63307,-1.78684,0.513274336
1.24639,0.61989,-1.64198,-0.87834,-0.22056,0.530973451
2.84528,0.65317,-0.29678,0.19513,-1.28034,0.557522124
2.64721,0.91537,-0.0399,-1.25797,-0.29307,0.530973451
2.46211,-0.30095,-0.91744,-0.5783,-0.55368,0.548672566
3.63459,-1.38693,-0.61232,0.83469,-1.08591,0.451327434
4.11423,-1.76938,0.48604,1.08408,-1.08188,0.539823009
2.03099,-1.14787,-0.92249,0.38409,-0.16024,0.557522124
2.27701,-1.11891,-0.30217,0.80201,-0.25514,0.557522124
0.57932,-0.57441,-0.96997,0.71184,-0.07086,0.451327434
-0.06052,-0.55712,-1.12958,0.47822,0.05477,0.407079646
-0.25525,-0.59227,-1.24997,0.27934,0.2773,0.389380531
-0.52855,-0.61409,-1.23468,0.26691,0.46619,0.371681416
-0.49974,-0.58712,-1.13676,0.40963,0.41181,0.292035398
-0.68634,-0.30069,-1.07242,0.88594,0.69704,0.318584071
-0.82794,-0.30522,-1.06522,0.61789,0.53697,0.283185841
-0.66966,-0.55586,-1.17849,0.01712,0.27899,0.300884956
-0.60757,-0.60879,-1.09043,0.0244,0.3144,0.230088496
-0.09033,-0.54944,-1.05703,0.91253,0.47721,0.327433628
1.14991,-0.91709,0.16837,0.92286,-0.35767,0.256637168
3.38877,-1.28471,1.8716,1.62027,-1.7337,0.300884956
2.35184,0.01161,-0.0302,-0.12254,-1.77764,0.265486726
1.86266,0.75039,-0.84535,-0.4747,-0.29435,0.380530973
2.5575,0.7859,-1.52192,-0.11022,-0.47816,0.504424779
2.5436,1.32799,-2.22325,-0.5301,0.00241,0.592920354
1.77075,1.86459,-1.89603,-0.22866,0.3844,0.699115044
0.81359,1.15753,-0.82561,-0.71892,0.9299,0.557522124
1.90405,0.55797,0.11148,-0.9766,-1.16349,0.548672566
2.04166,0.01675,-0.93496,-1.32286,-0.2172,0.424778761
2.13413,-0.25126,-0.51264,0.83907,-0.71999,0.486725664
1.32829,-0.3033,-1.25432,0.11845,-0.62485,0.513274336
1.11234,-0.23052,-1.60677,-0.26909,-0.55135,0.530973451
0.59326,-0.19307,-1.28762,0.68207,-0.02988,0.548672566
0.1832,-0.10422,-1.33034,0.71168,0.03314,0.389380531
0.30891,-0.10214,-1.03376,0.79153,-0.07156,0.353982301
0.76272,-0.48781,-0.94245,0.23191,-0.22393,0.345132743
0.13664,-0.3911,-1.25466,0.25098,0.03322,0.433628319
-0.04232,-0.078,-1.4726,0.61786,0.1849,0.477876106
0.02162,-0.11886,-1.8086,0.57742,0.24153,0.539823009
-0.04636,-0.19604,-1.79977,0.49613,0.26431,0.539823009
-0.08503,-0.29741,-1.70934,-0.12269,-0.02828,0.469026549
0.29457,-0.45876,-1.17048,-0.29522,-0.33295,0.424778761
0.80596,-0.85525,-0.63687,-0.09214,-0.52329,0.407079646
1.08701,-1.04287,-0.03423,0.69895,-0.50146,0.451327434
5.30344,-1.36078,3.35386,2.05462,-2.47578,0.389380531
1.22789,-0.151,-0.88821,0.00815,-1.66651,0.362831858
1.33974,0.6892,-1.24312,-1.10114,-1.11004,0.380530973
0.47059,1.37101,-0.80749,-1.27061,0.5448,0.371681416
0.04638,1.06141,-0.63618,-1.48775,0.67882,0.353982301
0.09824,1.12034,-0.37436,-1.39459,0.64216,0.327433628
0.66737,1.53973,-0.51555,-0.13758,1.09981,0.318584071
0.8823,1.04544,0.01623,-0.58145,0.61434,0.327433628
0.12515,-0.15672,-1.03381,0.07079,-0.68084,0.327433628
0.29052,-0.46194,-1.31743,0.18024,-0.6032,0.292035398
-0.10638,-0.31631,-1.23522,0.59948,-0.19479,0.300884956
0.10973,-0.66341,-0.88337,0.43663,-0.1384,0.300884956
0.07326,-0.79083,-0.90537,0.37542,-0.04662,0.309734513
